timestamp,ticker,side,price,shares,fee,reason
2026-06-09T04:36:53.165902+00:00,AALI,BUY,5975.0,646,11579.55,eod_signal
2026-06-09T04:36:53.135207+00:00,PNBN,BUY,840.0,5112,12882.24,eod_signal
2026-06-09T04:36:53.119921+00:00,BBNI,BUY,3080.0,1549,14312.76,eod_signal
2026-06-09T04:36:53.094894+00:00,BJBR,BUY,715.0,7419,15913.76,eod_signal
2026-06-09T04:36:53.076589+00:00,BNGA,BUY,1475.0,3997,17686.73,eod_signal
2026-06-09T04:36:53.064597+00:00,NISP,BUY,1115.0,5877,19658.56,eod_signal
2026-06-09T04:36:53.052599+00:00,BJTM,BUY,496.0,14685,21851.28,eod_signal
2026-06-09T04:36:53.033747+00:00,BBTN,BUY,1090.0,7427,24286.29,eod_signal
2026-06-09T04:36:53.021954+00:00,PNLF,BUY,196.0,45912,26996.26,eod_signal
2026-06-09T04:36:53.010297+00:00,LSIP,BUY,1110.0,9010,30003.3,eod_signal
2026-06-09T04:36:17.878669+00:00,BBCA,SELL,10500.0,100,3150.0,test_exit
2026-06-09T04:36:17.864381+00:00,BBCA,BUY,10250.0,100,3075.0,test
